symbol,cagr,avg_fcf_margin,wacc_7_tgr_1,wacc_7_tgr_2,wacc_7_tgr_3,wacc_7_tgr_4,wacc_7_tgr_5,wacc_8_tgr_1,wacc_8_tgr_2,wacc_8_tgr_3,wacc_8_tgr_4,wacc_8_tgr_5,wacc_9_tgr_1,wacc_9_tgr_2,wacc_9_tgr_3,wacc_9_tgr_4,wacc_9_tgr_5,wacc_10_tgr_1,wacc_10_tgr_2,wacc_10_tgr_3,wacc_10_tgr_4,wacc_10_tgr_5,wacc_11_tgr_1,wacc_11_tgr_2,wacc_11_tgr_3,wacc_11_tgr_4,wacc_11_tgr_5,wacc_12_tgr_1,wacc_12_tgr_2,wacc_12_tgr_3,wacc_12_tgr_4,wacc_12_tgr_5,wacc_13_tgr_1,wacc_13_tgr_2,wacc_13_tgr_3,wacc_13_tgr_4,wacc_13_tgr_5
BRO,17.38,23.22,110.88,133.25,166.81,222.74,334.6,90.92,106.31,127.87,160.2,214.09,75.98,87.11,101.95,122.73,153.89,64.4,72.74,83.47,97.78,117.81,55.15,61.59,69.64,79.99,93.79,47.62,52.7,58.91,66.68,76.66,41.35,45.44,50.35,56.34,63.84
BLDR,-10.0,9.94,94.24,115.32,146.95,199.65,305.05,75.11,89.61,109.92,140.39,191.17,60.72,71.2,85.19,104.76,134.13,49.49,57.36,67.47,80.95,99.82,40.49,46.55,54.14,63.89,76.89,33.09,37.88,43.74,51.05,60.46,26.91,30.77,35.39,41.04,48.1
BG,1.51,1.0,,,12.06,36.9,86.58,,,,9.05,32.99,,,,,6.18,,,,,,,,,,,,,,,,,,,,
BXP,3.86,38.25,59.95,85.61,124.11,188.26,316.57,36.9,54.56,79.29,116.38,178.19,19.63,32.39,49.41,73.24,108.99,6.2,15.77,28.08,44.49,67.46,,2.84,12.08,23.95,39.78,,,,8.54,19.99,,,,,5.16
CHRW,-10.0,4.37,48.55,57.6,71.17,93.78,139.0,40.34,46.57,55.28,68.35,90.14,34.17,38.67,44.67,53.07,65.67,29.35,32.73,37.07,42.85,50.95,25.49,28.09,31.35,35.53,41.11,22.32,24.37,26.89,30.02,34.06,19.67,21.32,23.3,25.73,28.76
CDNS,14.14,28.98,157.75,185.17,226.3,294.84,431.94,133.25,152.12,178.54,218.17,284.21,114.92,128.56,146.74,172.2,210.4,100.69,110.92,124.07,141.6,166.15,89.33,97.22,107.09,119.77,136.68,80.06,86.29,93.91,103.42,115.66,72.36,77.37,83.38,90.73,99.92
CPT,3.41,23.72,27.77,39.1,56.1,84.42,141.08,17.59,25.39,36.31,52.68,79.97,9.96,15.6,23.11,33.63,49.42,4.03,8.25,13.69,20.93,31.08,,2.54,6.62,11.86,18.85,,,1.12,5.06,10.11,,,,,3.56
CPB,6.19,8.26,36.93,46.69,61.32,85.7,134.47,28.19,34.9,44.29,58.39,81.88,21.63,26.48,32.95,42.01,55.59,16.54,20.18,24.85,31.09,39.82,12.47,15.27,18.78,23.29,29.31,9.14,11.36,14.06,17.45,21.8,6.37,8.15,10.29,12.91,16.17
COF,15.98,40.0,1123.0,1306.3,1581.24,2039.49,2955.97,959.36,1085.5,1262.1,1527.01,1968.51,836.9,928.09,1049.67,1219.88,1475.19,741.9,810.28,898.19,1015.41,1179.51,666.1,718.85,784.8,869.59,982.64,604.25,645.89,696.79,760.41,842.21,552.87,586.36,626.55,675.67,737.07
CAH,7.07,1.24,236.54,278.67,341.86,447.18,657.82,198.78,227.77,268.36,329.24,430.71,170.48,191.44,219.38,258.5,317.18,148.5,164.21,184.42,211.36,249.07,130.93,143.06,158.21,177.7,203.68,116.58,126.15,137.85,152.47,171.27,104.64,112.33,121.57,132.86,146.97
