symbol,name,current_price,fair_value_per_share,upside_pct,predicted_ev
HAL,Halliburton Company,39.495,41.294677362274626,4.6,4.057548e+10
HAS,"Hasbro, Inc.",84.71,85.02625877326263,0.4,1.4548324e+10
HCA,"HCA Healthcare, Inc.",371.465,618.6253724354241,66.5,1.8601673e+11
HSIC,"Henry Schein, Inc.",77.49,90.02225595309038,16.2,1.3866043e+10
HSY,The Hershey Company,186.95,274.8714985613762,47.0,4.5548335e+10
HPE,Hewlett Packard Enterprise Company,49.13,53.00775417587792,7.9,8.6205055e+10
HLT,Hilton Worldwide Holdings Inc.,342.58,338.3708308179775,-1.2,8.952357e+10
HD,"The Home Depot, Inc.",310.8,309.0694962337417,-0.6,3.7030835e+11
HON,Honeywell International Inc.,214.825,176.64734641036304,-17.8,1.3729414e+11
HRL,Hormel Foods Corporation,23.685,23.266966202894004,-1.8,1.2479897e+10
HST,"Host Hotels & Resorts, Inc.",24.705,24.723302207765283,0.1,2.0874478e+10
HWM,Howmet Aerospace Inc.,252.065,250.72989483678313,-0.5,1.0273191e+11
HPQ,HP Inc.,25.345,26.29921480898413,3.8,3.1212229e+10
HUBB,Hubbell Incorporated,477.46,485.8094821451595,1.7,2.7892836e+10
HII,"Huntington Ingalls Industries, Inc.",294.22,294.6735518847578,0.2,1.4326325e+10
IBM,International Business Machines Corporation,283.7,299.7406440241303,5.7,3.3974082e+11
IEX,IDEX Corporation,216.285,216.1599021777354,-0.1,1.7312186e+10
IDXX,"IDEXX Laboratories, Inc.",562.92,566.8528952063016,0.7,4.561998e+10
ITW,Illinois Tool Works Inc.,253.45,254.96072075078206,0.6,8.16732e+10
INCY,Incyte Corporation,104.4925,101.51539943094517,-2.8,1.630457e+10
IR,Ingersoll Rand Inc.,72.0,71.35028823788154,-0.9,3.1581596e+10
PODD,Insulet Corporation,153.04,146.44972390976676,-4.3,1.0677392e+10
INTC,Intel Corporation,101.67,114.35902828491842,12.5,5.870105e+11
