symbol,name,sector,current_price,market_cap,pe_ratio,ev_ebitda,altman_z_score,z_score_zone,ml_fair_value,ml_upside,dcf_base_case,dcf_bull,dcf_bear,dcf_upside,cagr,avg_fcf_margin
CVX,Chevron Corporation,Energy,188.39,375197073408.0,32.82056,11.033,3.401,safe,189.70218464980655,0.7,70.01973819639682,127.84663476710683,46.59251052761092,-62.8,-7.85,10.7
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,29.67,38058717184.0,27.220182,17.588,5.926,safe,28.4900530772553,-4.0,19.6731444710645,36.24248746901533,13.016322138479762,-33.7,11.36,11.91
CB,Chubb Limited,Financial Services,327.575,127053275136.0,11.587372,10.059,,not applicable,,,778.7856765329273,1370.9380973198354,540.899874730581,137.7,11.56,25.46
CHD,"Church & Dwight Co., Inc.",Consumer Defensive,97.63,23132803072.0,32.11513,17.417,4.989,safe,84.43879103348822,-13.5,55.22765117546451,99.20337376458312,37.52072283501618,-43.4,4.89,15.13
CIEN,Ciena Corporation,Technology,500.37,70851166208.0,166.79,97.0,14.353,safe,536.1671842485976,7.2,26.09177940472919,46.54482413944484,17.869763624592764,-94.8,9.5,4.41
CI,The Cigna Group,Healthcare,289.49,76579479552.0,2.5454144,7.284,2.707,grey,279.999921733596,-3.3,609.9405240405572,1118.1010770680468,406.0189100913119,110.7,15.29,2.75
CINF,Cincinnati Financial Corporation,Financial Services,164.925,25511710720.0,9.435069,6.71,,not applicable,,,700.6015404168897,1224.8306526825986,490.69608393337626,324.8,24.39,24.75
CTAS,Cintas Corporation,Industrials,182.42,72992972800.0,38.566597,25.743,12.336,safe,180.4782211015435,-1.1,74.63830705427412,132.67751020254926,51.30760399058151,-59.1,9.6,16.26
CSCO,"Cisco Systems, Inc.",Technology,122.67,483495772160.0,40.89,31.09,4.684,safe,130.15661089183627,6.1,49.45878592651762,86.46432644367961,34.54848696483823,-59.7,3.19,25.14
C,Citigroup Inc.,Financial Services,131.42,224146915328.0,16.22469,11.172,,not applicable,,,143.30073993768232,148.7707872484849,141.09795962416976,9.0,4.59,1.0
CFG,"Citizens Financial Group, Inc.",Financial Services,64.37,27220912128.0,15.253556,11.172,,not applicable,,,88.9273262858809,148.16604874732047,65.03613267347559,38.2,0.93,33.11
CLX,The Clorox Company,Consumer Defensive,94.07,11375071232.0,15.295935,11.218,3.293,safe,90.9182437434064,-3.4,44.172614111391454,92.56487031367458,24.64765660106749,-53.0,-0.01,9.41
CME,CME Group Inc.,Financial Services,257.34,92982796288.0,21.93862,19.617,0.53,not applicable,256.8065546112494,-0.2,133.84038775457896,231.3918382590471,94.62019730245964,-48.0,9.11,40.0
CMS,CMS Energy Corporation,Utilities,72.39,22362691584.0,19.997238,13.599,0.917,distress,71.8500093367335,-0.7,-57.66147434304407,-55.26641600854,-58.62790593820808,-179.7,-0.22,1.0
KO,The Coca-Cola Company,Consumer Defensive,80.16,344887001088.0,25.207548,21.744,5.145,safe,78.06360108825899,-2.6,20.10117410651134,38.97295001233387,12.498857394023153,-74.9,3.69,16.15
CTSH,Cognizant Technology Solutions Corporation,Technology,53.21,25168328704.0,11.542299,6.394,5.522,safe,53.36478146300212,0.3,71.64670929093347,120.37815168222656,52.00869303673224,34.6,2.8,10.87
COHR,Coherent Corp.,Technology,385.1601,75352465408.0,182.54034,63.849,7.776,safe,422.3418441326527,9.7,26.764525657031776,50.429869115220754,17.2805393498575,-93.1,20.55,3.59
COIN,"Coinbase Global, Inc.",Financial Services,148.395,39096262656.0,54.556988,40.669,2.733,not applicable,201.12765873278576,35.5,192.89425532040372,331.40803317193894,137.494060935376,30.0,30.0,13.28
CL,Colgate-Palmolive Company,Consumer Defensive,89.17,71352877056.0,34.562016,15.239,6.823,safe,94.19558275278634,5.6,52.64328661477622,94.88383910431544,35.63112376148775,-41.0,4.29,15.36
CMCSA,Comcast Corporation,Communication Services,23.745,84822573056.0,4.655883,4.771,1.44,distress,23.481951574466716,-1.1,30.014319359009463,66.68744775398676,15.221909688850962,26.4,0.62,11.69
FIX,"Comfort Systems USA, Inc.",Industrials,1847.68,65008717824.0,53.308716,40.268,12.704,safe,1973.9826027008269,6.8,1046.82568469365,1849.5755362798775,725.7565570571445,-43.3,30.0,9.6
CAG,"Conagra Brands, Inc.",Consumer Defensive,13.08,6257957888.0,22.849333,7.716,1.476,distress,12.684400456556514,-3.0,13.350246648486491,32.73172861890649,5.531174908480944,2.1,0.22,9.01
COP,ConocoPhillips,Energy,118.0001,143758819328.0,20.000017,6.948,3.19,safe,120.13064705160288,1.8,54.22502713101774,97.48889178570649,36.68410822375746,-54.0,-9.11,16.39
ED,"Consolidated Edison, Inc.",Utilities,107.22,39513755648.0,18.080946,10.867,1.151,distress,105.42805094096823,-1.7,-66.70895823164712,-62.143162341264095,-68.54906644978806,-162.2,2.59,1.0
